  Lines          Copies       Function name
      85 (0.0%)    17 (0.3%)  alloc::raw_vec::RawVec<T,A>::ptr
      85 (0.0%)     5 (0.1%)  <chumsky::combinator::Foldl<A,F,O,U> as core::clone::Clone>::clone
      84 (0.0%)     7 (0.1%)  <core::option::Option<T> as core::iter::traits::collect::IntoIterator>::into_iter
      84 (0.0%)     7 (0.1%)  core::result::Result<T,E>::is_ok
      84 (0.0%)     4 (0.1%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
      84 (0.0%)     4 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
      84 (0.0%)     2 (0.0%)  chumsky::stream::Stream<I,S>::pull_until
      84 (0.0%)     2 (0.0%)  hashbrown::raw::RawIter<T>::drop_elements
      84 (0.0%)     2 (0.0%)  hashbrown::raw::RawTable<T,A>::into_iter_from
      84 (0.0%)     1 (0.0%)  core::hash::sip::u8to64_le
      83 (0.0%)     1 (0.0%)  hashbrown::raw::TableLayout::calculate_layout_for
      81 (0.0%)    11 (0.2%)  core::mem::zeroed
      81 (0.0%)     9 (0.1%)  core::ptr::slice_from_raw_parts
      81 (0.0%)     9 (0.1%)  core::slice::raw::from_raw_parts
      81 (0.0%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::prepare_resize
      80 (0.0%)    11 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::zeroed
      80 (0.0%)     8 (0.1%)  <chumsky::recovery::Recovery<A,S> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
      80 (0.0%)     4 (0.1%)  alloc::vec::Vec<T,A>::spare_capacity_mut
      80 (0.0%)     4 (0.1%)  core::alloc::layout::Layout::for_value
      80 (0.0%)     4 (0.1%)  core::alloc::layout::Layout::for_value_raw
      80 (0.0%)     1 (0.0%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
      80 (0.0%)     1 (0.0%)  alloc::vec::Vec<T,A>::extend_with
      79 (0.0%)    12 (0.2%)  <core::option::Option<T> as core::ops::try_trait::FromResidual>::from_residual
      78 (0.0%)     3 (0.0%)  core::result::Result<T,E>::expect
      77 (0.0%)    11 (0.2%)  alloc::raw_vec::RawVec<T,A>::reserve
      77 (0.0%)     1 (0.0%)  alloc::alloc::Global::alloc_impl
      76 (0.0%)    10 (0.2%)  core::option::Option<T>::take
      76 (0.0%)     4 (0.1%)  hashbrown::raw::Bucket<T>::as_ptr
      76 (0.0%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
      75 (0.0%)    25 (0.4%)  <chumsky::combinator::Then<A,B> as chumsky::Parser<I,(O,U)>>::parse_inner_verbose
      75 (0.0%)     2 (0.0%)  core::slice::iter::IterMut<T>::new
      75 (0.0%)     1 (0.0%)  core::iter::traits::iterator::Iterator::advance_by
      74 (0.0%)     4 (0.1%)  alloc::rc::Rc<T>::get_mut_unchecked
      74 (0.0%)     2 (0.0%)  core::fmt::builders::DebugList::entries
      74 (0.0%)     1 (0.0%)  <chumsky::error::Simple<I,S> as chumsky::error::Error<I>>::unclosed_delimiter
      74 (0.0%)     1 (0.0%)  lang_frontend::parse_file
      72 (0.0%)    30 (0.5%)  core::ptr::unique::Unique<T>::as_ptr
      72 (0.0%)     4 (0.1%)  hashbrown::raw::RawIterRange<T>::new
      72 (0.0%)     3 (0.0%)  chumsky::Parser::delimited_by
      71 (0.0%)     4 (0.1%)  hashbrown::raw::Bucket<T>::write
